acronym;title;ranksys;rank;field;gs_publication;gs_query_used;gs_match_stage;h5_index;h5_median;gs_smilarity
ICCV;IEEE International Conference on Computer Vision;CORE2023;A*;Computer vision and multimedia computation;IEEE/CVF International Conference on Computer Vision;ieee international conference computer vision;MATCH;256;412;0.960000
ICDAR;IEEE International Conference on Document Analysis and Recognition;CORE2023;A;Data management and data science;International Conference on Document Analysis and Recognition;international conference document analysis recognition;FALLBACK 1 WORD REMOVED MATCH;30;49;0.960630
ICDE;International Conference on Data Engineering;CORE2023;A*;Data management and data science;International Conference on Data Engineering;international conference data engineering;MATCH;82;104;1.000000
ICDM;IEEE International Conference on Data Mining;CORE2023;A*;Data management and data science;IEEE International Conference on Data Mining;ieee international conference data mining;MATCH;49;86;1.000000
ICDT;International Conference on Database Theory;CORE2023;A;Data management and data science;International Conference on Database Theory;international conference database theory;MATCH;19;28;1.000000
ICFHR;International Conference on Frontiers of Handwriting Recognition;CORE2023;B;Computer vision and multimedia computation;NA;NA;NO MATCH;NA;NA;NA
ICIP;IEEE International Conference on Image Processing;CORE2023;B;Computer vision and multimedia computation;IEEE International Conference on Image Processing (ICIP);ieee international conference image processing;MATCH;55;89;0.951456
ICLR;International Conference on Learning Representations;CORE2023;A*;Machine learning;International Conference on Learning Representations;international conference learning representations;MATCH;362;652;1.000000
ICME;IEEE International Conference on Multimedia and Expo;CORE2023;A;Computer vision and multimedia computation;IEEE International Conference on Multimedia and Expo;ieee international conference multimedia expo;MATCH;50;68;1.000000
ICML;International Conference on Machine Learning;CORE2023;A*;Machine learning;International Conference on Machine Learning;international conference machine learning;MATCH;272;471;1.000000
ICMR;International Conference on Multimedia Retrieval;CORE2023;B;Computer vision and multimedia computation;ACM International Conference on Multimedia Retrieval;international conference multimedia retrieval;MATCH;33;53;0.960000
ICONIP;International Conference on Neural Information Processing;CORE2023;B;Machine learning;International Conference on Neural Information Processing;international conference neural information processing;MATCH;27;37;1.000000
ICPM;International Conference on Process Mining;CORE2023;B;Data management and data science;International Conference on Data Stream Mining & Processing;international conference process mining;MATCH;17;26;0.767677
ICPR;International Conference on Pattern Recognition;CORE2023;B;Computer vision and multimedia computation;International Conference on Pattern Recognition;international conference pattern recognition;MATCH;68;106;1.000000
ICRA;IEEE International Conference on Robotics and Automation;CORE2023;A*;Artificial intelligence;IEEE International Conference on Robotics and Automation;ieee international conference robotics automation;MATCH;129;192;1.000000
ICTAI;International Conference on Tools with Artificial Intelligence;CORE2023;B;Artificial intelligence;IEEE International Conference on Tools with Artificial Intelligence (ICTAI);international conference tools with artificial intelligence;MATCH;26;35;0.918519
ICWE;International Conference on Web Engineering;CORE2023;B;Data management and data science;International Conference on Web Engineering (ICWE);international conference web engineering;MATCH;15;26;0.945055
IDA;Intelligent Data Analysis;CORE2023;B;Data management and data science;Intelligent Data Analysis;intelligent data analysis;MATCH;19;28;1.000000
IE;The International Conference on Intelligent Environments;CORE2023;B;Artificial intelligence;International Conference on Intelligent Environments;international conference intelligent environments;MATCH;15;25;0.962963
IJCAI;International Joint Conference on Artificial Intelligence;CORE2023;A*;Artificial intelligence;International Joint Conference on Artificial Intelligence (IJCAI);international joint conference artificial intelligence;MATCH;136;207;0.950000
IJCAR;International Joint Conference on Automated Reasoning;CORE2023;A;Artificial intelligence;International Conference on Automated Deduction;international on automated reasoning;FALLBACK MODE 3 MATCH;24;37;0.820000
IJCB;International Joint Conference on Biometrics;CORE2023;B;Computer vision and multimedia computation;NA;NA;FALLBACK MODE 3 SIMILARITY CHECK FAILED;NA;NA;NA
IJCNLP;International Joint Conference on Natural Language Processing;CORE2023;B;Artificial intelligence;International Joint Conference on Natural Language Processing (IJCNLP);international joint conference natural language processing;MATCH;41;77;0.945736
IJCNN;IEEE International Joint Conference on Neural Networks;CORE2023;B;Machine learning;International Joint Conference on Neural Networks;international joint conference neural networks;FALLBACK 1 WORD REMOVED MATCH;66;96;0.951456
INLG;International Natural Language Generation Conference;CORE2023;B;Artificial intelligence;International Conference on Natural Language Generation;international natural language generation conference;MATCH;25;62;0.766355
IROS;IEEE/RSJ International Conference on Intelligent Robots and Systems;CORE2023;A;Artificial intelligence;IEEE/RSJ International Conference on Intelligent Robots and Systems;ieee rsj international conference intelligent robots systems;MATCH;92;137;1.000000
ISWC;International Semantic Web Conference;CORE2023;A;Data management and data science;International Semantic Web Conference;international semantic web conference;MATCH;36;59;1.000000
IV;Intelligent Vehicles Conference;CORE2023;B;Artificial intelligence;IEEE Intelligent Vehicles Symposium;intelligent vehicles conference;MATCH;55;81;0.666667
IVA;Intelligent Virtual Agents;CORE2023;B;Artificial intelligence;Intelligent Virtual Agents;intelligent virtual agents;MATCH;24;40;1.000000
Interspeech;Interspeech;CORE2023;A;Artificial intelligence;NA;NA;NO MATCH;NA;NA;NA
K-CAP;Knowledge capture;CORE2023;B;Data management and data science;NA;NA;NO MATCH;NA;NA;NA
KDD;ACM International Conference on Knowledge Discovery and Data Mining;CORE2023;A*;Data management and data science;ACM SIGKDD Conference on Knowledge Discovery and Data Mining;conference knowledge discovery data mining;FALLBACK 2 WORDS REMOVED MATCH;124;212;0.866142
KES;International Conference on Knowledge-Based and Intelligent Information and Engineering Systems;CORE2023;B;Artificial intelligence;NA;NA;NO MATCH;NA;NA;NA
KR;International Conference on the Principles of Knowledge Representation and Reasoning;CORE2023;A*;Artificial intelligence;Principles of Knowledge Representation and Reasoning (KR);KR;ACRONYM MATCH;29;38;0.748201
LPNMR;International Conference on Logic Programming and Non-monotonic Reasoning;CORE2023;B;Artificial intelligence;International Conference on Logic Programming;international conference logic programming;SUBSTRING MODE MATCH;9;15;0.762712
LREC;Language Resources and Evaluation Conference;CORE2023;B;Artificial intelligence;International Conference on Language Resources and Evaluation (LREC);language resources evaluation conference;MATCH;68;108;0.672727
